
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2004,3,2004-09-26,26-265,MIA,,PIT,L 3-13,21,41,1.95,0,3,0,0,,0
2,2004,4,2004-10-03,26-272,MIA,,NYJ,L 9-17,18,85,4.72,0,3,3,12,4.00,0
3,2004,5,2004-10-10,26-279,MIA,@,NWE,L 10-24,5,10,2.00,0,0,0,0,,0
4,2004,6,2004-10-17,26-286,MIA,@,BUF,L 13-20,,,,,,,,,
5,2004,11,2004-11-28,26-328,MIA,@,SFO,W 24-17,,,,,,,,,
6,2004,12,2004-12-05,26-335,MIA,,BUF,L 32-42,2,5,2.50,0,0,0,0,,0
,,,6 Games,,,,,1-5-0,46,141,3.07,0,6,3,12,4.00,0
