
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1960,1,1960-09-24,26-017,PIT,@,DAL,W 35-28,14,64,4.57,0,,4,82,20.50,1,1,3,33.33,70,1,0,121.5,23.33,30.00,0,0,,0,,,,,,,1,6
2,1960,2,1960-10-02,26-025,PIT,@,CLE,L 20-28,15,51,3.40,1,,2,49,24.50,1,1,1,100.00,-2,0,0,79.2,-2.00,-2.00,0,0,,0,,,,,,,2,12
3,1960,3,1960-10-09,26-032,PIT,,NYG,L 17-19,20,57,2.85,0,,2,53,26.50,0,1,2,50.00,23,1,0,131.2,11.50,21.50,0,0,,0,,,,,,,0,0
4,1960,4,1960-10-16,26-039,PIT,,STL,W 27-14,16,48,3.00,1,,1,-4,-4.00,0,1,3,33.33,51,1,0,121.5,17.00,23.67,0,0,,0,,,,,,,1,6
5,1960,5,1960-10-23,26-046,PIT,@,WAS,T 27-27,13,50,3.85,0,,3,21,7.00,1,0,0,,0,0,0,,,,0,0,,0,,,,,,,1,6
6,1960,6,1960-10-30,26-053,PIT,,GNB,L 13-19,12,39,3.25,0,,3,44,14.67,1,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,1,6
7,1960,7,1960-11-06,26-060,PIT,@,PHI,L 7-34,11,42,3.82,0,,1,3,3.00,0,2,2,100.00,73,1,0,158.3,36.50,46.50,1,30,30.00,0,,,,,1,0.0,0,0
8,1960,8,1960-11-13,26-067,PIT,@,NYG,L 24-27,16,51,3.19,1,,3,28,9.33,0,1,4,25.00,34,0,1,22.9,8.50,-2.75,0,0,,0,,,,,1,0.0,1,6
9,1960,9,1960-11-20,26-074,PIT,,CLE,W 14-10,19,78,4.11,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,,,,1,0.0,1,6
10,1960,10,1960-11-27,26-081,PIT,,WAS,W 22-10,21,72,3.43,1,,0,2,,0,1,2,50.00,42,0,0,95.8,21.00,21.00,0,0,,0,,,,3,3,100.0,1,15
11,1960,11,1960-12-11,26-095,PIT,,PHI,W 27-21,22,95,4.32,0,,3,29,9.67,0,1,1,100.00,31,0,0,118.7,31.00,31.00,0,0,,0,,,,,,,0,0
12,1960,12,1960-12-18,26-102,PIT,@,STL,L 7-38,13,33,2.54,0,,2,42,21.00,0,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,,,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
