
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1966,1,1966-09-11,23-193,DET,,CHI,W 14-3,0,0,,0,1,36,36.00,0,1,4,4.00,0
2,1966,2,1966-09-18,23-200,DET,@,PIT,L 3-17,0,0,,0,0,0,,0,1,0,0.00,0
3,1966,3,1966-09-25,23-207,DET,,ATL,W 28-10,0,0,,0,0,0,,0,1,10,10.00,0
4,1966,4,1966-10-02,23-214,DET,@,GNB,L 14-23,0,0,,0,0,0,,0,2,-2,-1.00,0
5,1966,12,1966-11-24,23-267,DET,,SFO,L 14-41,0,0,,0,2,69,34.50,0,0,0,,0
6,1966,14,1966-12-11,23-284,DET,,MIN,L 16-28,2,6,3.00,0,0,0,,0,0,0,,0
,,,6 Games,,,,,2-4-0,2,6,3.00,0,3,105,35.00,0,5,12,2.40,0
