
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2006,2,2006-09-17,22-090,CHI,,DET,W 34-7
2,2006,16,2006-12-31,22-195,CHI,,GNB,L 7-26
,,,2 Games,,,,,1-1-0
