
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1965,1,1965-09-19,21-243,DAL,,NYG,W 31-2,7,14,2.00,1,,0,0,,0,1,1,100.00,11,0,0,112.5,11.00,11.00,0,0,,0,0,0,,0,,,,,,,1,6
2,1965,3,1965-10-04,21-258,DAL,@,STL,L 13-20,1,3,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
3,1965,5,1965-10-17,21-271,DAL,@,CLE,L 17-23,3,12,4.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
4,1965,6,1965-10-24,21-278,DAL,@,GNB,L 3-13,4,26,6.50,0,,0,0,,0,0,0,,0,0,0,,,,2,45,22.50,0,0,0,,0,,,,,,,0,0
5,1965,7,1965-10-31,21-285,DAL,@,PIT,L 13-22,8,28,3.50,0,,2,54,27.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
6,1965,8,1965-11-07,21-292,DAL,,SFO,W 39-31,2,2,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
7,1965,9,1965-11-14,21-299,DAL,,PIT,W 24-17,6,10,1.67,1,,3,73,24.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,,,,,,,1,6
8,1965,13,1965-12-11,21-326,DAL,,STL,W 27-13,1,5,5.00,0,,4,83,20.75,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,1,6
9,1965,14,1965-12-19,21-334,DAL,@,NYG,W 38-20,1,2,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
