
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
1,1960,3,1960-09-23,25-236,BOS,,BUF,L 0-13,,2,50,25.00,0,0,0,,0,1,24,24.00,0,1,21,21.00,0,0,0,0,0,0
2,1960,4,1960-10-08,25-251,BOS,@,LAC,W 35-0,,0,0,,0,0,0,,0,1,33,33.00,0,0,0,,0,0,0,0,0,0
3,1960,6,1960-10-23,25-266,BOS,@,DEN,L 24-31,,1,2,2.00,0,3,0,0.00,0,1,24,24.00,0,0,0,,0,0,0,0,0,0
4,1960,7,1960-10-28,25-271,BOS,,LAC,L 16-45,,6,80,13.33,1,3,-4,-1.33,0,4,65,16.25,0,0,0,,0,1,6,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
5,1961,1,1961-09-09,26-221,BOS,,NYT,L 20-21,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,37,0
6,1961,2,1961-09-16,26-228,BOS,,DEN,W 45-17,,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,0,0
7,1961,5,1961-10-07,26-249,BOS,,SDG,L 27-38,,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
8,1964,3,1964-09-27,29-240,CLE,@,PHI,W 28-20,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,16,0
9,1964,10,1964-11-15,29-289,CLE,,DET,W 37-21,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,2,65,1
10,1964,12,1964-11-29,29-303,CLE,,PHI,W 38-24,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
11,1965,12,1965-12-05,30-308,CLE,,WAS,W 24-16,,,,,,,,,,,,,,,,,,,,0,2,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
12,1966,1,1966-09-11,31-223,CLE,@,WAS,W 38-14,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
,,,12 Games,,,,,7-5-0,,9,132,14.67,1,6,-4,-0.67,0,9,184,20.44,0,1,21,21.00,0,2,12,6,120,1
