
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1960,9,1960-11-13,34-261,DEN,@,DTX,L 7-34,,4,32,8.00,0,0,0,,0,0,0
2,1960,10,1960-11-20,34-268,DEN,@,HOU,L 10-20,,6,56,9.33,1,0,0,,0,1,6
3,1960,11,1960-11-27,34-275,DEN,,BUF,T 38-38,,4,51,12.75,0,0,0,,0,0,0
4,1960,12,1960-12-04,34-282,DEN,,NYT,L 27-30,,5,54,10.80,0,0,0,,0,0,0
5,1960,13,1960-12-10,34-288,DEN,@,LAC,L 33-41,,3,70,23.33,0,0,0,,0,0,0
6,1960,14,1960-12-17,34-295,DEN,@,OAK,L 10-48,,7,87,12.43,0,4,13,3.25,0,0,0
,,,6 Games,,,,,0-5-1,,29,350,12.07,1,4,13,3.25,0,1,6
