
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,2,1960-09-16,24-296,OAK,,DTX,L 16-34,,3,26,8.67,0,0,0,,0,0,0,,0,0,0
2,1960,3,1960-09-25,24-305,OAK,@,HOU,W 14-13,,0,0,,0,1,9,9.00,0,0,0,,0,0,0
3,1960,6,1960-10-16,24-326,OAK,,BOS,W 27-14,,0,0,,0,1,3,3.00,0,0,0,,0,0,0
4,1960,7,1960-10-23,24-333,OAK,@,BUF,L 9-38,,0,0,,0,1,17,17.00,0,0,0,,0,0,0
5,1960,9,1960-11-04,24-345,OAK,@,BOS,L 28-34,,0,0,,0,0,0,,0,2,39,19.50,0,0,0
6,1960,10,1960-11-13,24-354,OAK,,BUF,W 20-7,,0,0,,0,0,0,,0,1,0,0.00,0,0,0
7,1960,11,1960-11-27,25-002,OAK,@,LAC,L 28-52,,0,0,,0,0,0,,0,1,16,16.00,0,0,0
8,1960,13,1960-12-11,25-016,OAK,,NYT,L 28-31,,1,14,14.00,1,0,0,,0,1,16,16.00,0,1,6
9,1960,14,1960-12-17,25-022,OAK,,DEN,W 48-10,,1,49,49.00,1,1,23,23.00,0,0,0,,0,1,6
,,,9 Games,,,,,4-5-0,,5,89,17.80,2,4,52,13.00,0,5,71,14.20,0,2,12
