
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1960,12,1960-12-18,26-070,BAL,@,SFO,L 10-34,0,0,,0,,0,0,,0,1,10,10.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
2,1961,1,1961-09-17,26-343,BAL,,RAM,W 27-24,2,-2,-1.00,0,,0,0,,0,0,0,,0,0,0,,0
3,1961,3,1961-10-01,26-357,BAL,,MIN,W 34-33,4,12,3.00,0,,1,31,31.00,0,0,0,,0,0,0,,0
4,1961,7,1961-10-29,27-020,WAS,,PHI,L 24-27,2,0,0.00,0,,0,0,,0,0,0,,0,1,13,13.00,0
5,1961,8,1961-11-05,27-027,WAS,@,NYG,L 0-53,3,-9,-3.00,0,,0,0,,0,4,98,24.50,0,1,13,13.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
6,1963,1,1963-09-07,28-333,OAK,@,HOU,W 24-13,0,0,,0,,0,0,,0,1,18,18.00,0,1,10,10.00,0
7,1963,2,1963-09-15,28-341,OAK,,BUF,W 35-17,1,13,13.00,0,,1,24,24.00,0,1,20,20.00,0,1,2,2.00,0
8,1963,3,1963-09-22,28-348,OAK,,BOS,L 14-20,4,8,2.00,0,,0,0,,0,2,45,22.50,0,1,25,25.00,0
9,1963,4,1963-09-28,28-354,OAK,@,NYJ,L 7-10,0,0,,0,,0,0,,0,1,19,19.00,0,1,7,7.00,0
,,,9 Games,,,,,4-5-0,16,22,1.38,0,,2,55,27.50,0,10,210,21.00,0,6,70,11.67,0
