
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-10,30-036,LAC,,DTX,W 21-20,8,19,2.38,0,,3,8,2.67,1,1,6
2,1960,2,1960-09-18,30-044,LAC,@,HOU,L 28-38,7,20,2.86,0,,3,14,4.67,0,0,0
3,1960,3,1960-09-25,30-051,LAC,@,DTX,L 0-17,17,93,5.47,0,,3,13,4.33,0,0,0
4,1960,4,1960-10-02,30-058,LAC,@,BUF,W 24-10,15,40,2.67,1,,1,10,10.00,0,1,6
5,1960,5,1960-10-08,30-064,LAC,,BOS,L 0-35,3,9,3.00,0,,2,13,6.50,0,0,0
6,1960,6,1960-10-16,30-072,LAC,@,DEN,W 23-19,15,63,4.20,0,,1,8,8.00,0,0,0
7,1960,7,1960-10-28,30-084,LAC,@,BOS,W 45-16,13,50,3.85,1,,0,0,,0,1,6
8,1960,8,1960-11-04,30-091,LAC,@,NYT,W 21-7,10,29,2.90,1,,2,-4,-2.00,0,1,6
9,1960,9,1960-11-13,30-100,LAC,,HOU,W 24-21,5,16,3.20,0,,2,27,13.50,0,0,0
10,1960,10,1960-11-20,30-107,LAC,,BUF,L 3-32,5,17,3.40,0,,1,26,26.00,0,0,0
11,1960,11,1960-11-27,30-114,LAC,,OAK,W 52-28,11,41,3.73,1,,0,0,,0,1,6
12,1960,12,1960-12-04,30-121,LAC,@,OAK,W 41-17,10,21,2.10,0,,0,0,,0,0,0
13,1960,13,1960-12-10,30-127,LAC,,DEN,W 41-33,5,18,3.60,0,,3,53,17.67,1,1,6
14,1960,14,1960-12-18,30-135,LAC,,NYT,W 50-43,2,2,1.00,0,,0,0,,0,0,0
,,,14 Games,,,,,10-4-0,126,438,3.48,4,,21,168,8.00,2,6,36
