
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1997,1,1997-08-31,23-167,NYG,,PHI,W 31-17,0,0,,0
2,1997,3,1997-09-14,23-181,NYG,,BAL,L 23-24,0,0,,0
3,1997,4,1997-09-21,23-188,NYG,@,STL,L 3-13,0,0,,0
4,1997,5,1997-09-28,23-195,NYG,,NOR,W 14-9,0,0,,0
5,1997,6,1997-10-05,23-202,NYG,,DAL,W 20-17,0,0,,0
6,1997,7,1997-10-12,23-209,NYG,@,ARI,W 27-13,0,0,,0
7,1997,8,1997-10-19,23-216,NYG,@,DET,W 26-20,0,0,,0
8,1997,9,1997-10-26,23-223,NYG,,CIN,W 29-27,0,0,,0
9,1997,10,1997-11-09,23-237,NYG,@,TEN,L 6-10,0,0,,0
10,1997,11,1997-11-16,23-244,NYG,,ARI,W 19-10,0,0,,0
11,1997,12,1997-11-23,23-251,NYG,@,WAS,T 7-7,0,0,,0
12,1997,13,1997-11-30,23-258,NYG,,TAM,L 8-20,0,0,,0
13,1997,14,1997-12-07,23-265,NYG,@,PHI,W 31-21,0,0,,0
14,1997,15,1997-12-13,23-271,NYG,,WAS,W 30-10,0,0,,0
15,1997,16,1997-12-21,23-279,NYG,@,DAL,W 20-7,5,13,2.60,0
,,,15 Games,,,,,10-4-1,5,13,2.60,0
