
,,,,,,,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Ret,Yds,Y/R,TD
1,1960,7,1960-11-06,30-127,PIT,@,PHI,L 7-34,1,3,3.00,0
2,1960,10,1960-11-27,30-148,PIT,,WAS,W 22-10,1,0,0.00,0
,,,2 Games,,,,,1-1-0,2,3,1.50,0
