
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2013,1,2013-09-08,23-320,GNB,@,SFO,L 28-34,,,,,,,,,,,,,,,,,,
2,2013,2,2013-09-15,23-327,GNB,,WAS,W 38-20,,,,,,,,,,,,,,,,,,
3,2013,3,2013-09-22,23-334,GNB,@,CIN,L 30-34,13,103,7.92,1,3,3,23,7.67,0,0,0,,0,1,6,0.0,1,0
4,2013,4,2013-10-06,23-348,GNB,,DET,W 22-9,3,1,0.33,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2013,5,2013-10-13,23-355,GNB,@,BAL,W 19-17,1,-3,-3.00,0,1,1,7,7.00,0,0,0,,0,0,0,0.0,1,0
6,2013,6,2013-10-20,23-362,GNB,,CLE,W 31-13,2,6,3.00,0,1,0,0,,0,1,26,26.00,0,0,0,0.0,0,0
7,2013,7,2013-10-27,24-004,GNB,@,MIN,W 44-31,0,0,,0,0,0,0,,0,2,34,17.00,0,0,0,0.0,0,0
8,2013,8,2013-11-04,24-012,GNB,,CHI,L 20-27,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,1,0
9,2013,9,2013-11-10,24-018,GNB,,PHI,L 13-27,,,,,,,,,,,,,,,,,,
10,2013,10,2013-11-17,24-025,GNB,@,NYG,L 13-27,,,,,,,,,,,,,,,,,,
11,2013,11,2013-11-24,24-032,GNB,,MIN,T 26-26,0,0,,0,0,0,0,,0,1,22,22.00,0,0,0,0.0,0,0
,,,11 Games,,,,,5-5-1,19,107,5.63,1,5,4,30,7.50,0,4,82,20.50,0,1,6,0.0,3,0
