
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2002,9,2002-11-10,24-313,CIN,@,BAL,L 27-38
2,2002,10,2002-11-17,24-320,CIN,,CLE,L 20-27
3,2002,11,2002-11-24,24-327,CIN,@,PIT,L 21-29
4,2002,12,2002-12-01,24-334,CIN,,BAL,L 23-27
5,2002,13,2002-12-08,24-341,CIN,@,CAR,L 31-52
6,2002,14,2002-12-15,24-348,CIN,,JAX,L 15-29
7,2002,15,2002-12-22,24-355,CIN,,NOR,W 20-13
8,2002,16,2002-12-29,24-362,CIN,@,BUF,L 9-27
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
9,2003,1,2003-09-07,25-249,CIN,,DEN,L 10-30
10,2003,2,2003-09-14,25-256,CIN,@,OAK,L 20-23
11,2003,3,2003-09-21,25-263,CIN,,PIT,L 10-17
12,2003,4,2003-09-28,25-270,CIN,@,CLE,W 21-14
,,,12 Games,,,,,2-10-0
