
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1974,11,1974-11-24,24-281,KAN,@,CIN,L 6-33,1,17,17.00,0,0,0,,0
2,1974,12,1974-12-01,24-288,KAN,@,STL,W 17-13,0,0,,0,1,0,0.00,0
,,,2 Games,,,,,1-1-0,1,17,17.00,0,1,0,0.00,0
