
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1987,1,1987-09-13,23-060,TAM,,ATL,W 48-10,7,23,3.29,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
2,1987,2,1987-09-20,23-067,TAM,@,CHI,L 3-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,
3,1987,6,1987-10-25,23-102,TAM,,CHI,L 26-27,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,
4,1987,10,1987-11-22,23-130,TAM,,SFO,L 10-24,2,7,3.50,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
5,1987,11,1987-11-29,23-137,TAM,@,RAM,L 3-35,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,
6,1987,12,1987-12-06,23-144,TAM,@,NOR,L 34-44,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,
7,1987,13,1987-12-13,23-151,TAM,,DET,L 10-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,
8,1987,14,1987-12-20,23-158,TAM,,STL,L 14-31,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,,
9,1987,15,1987-12-27,23-165,TAM,@,IND,L 6-24,0,0,,0,,0,0,,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,1,15,15.00,0,0,0
,,,9 Games,,,,,1-8-0,9,30,3.33,1,,1,5,5.00,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,1,15,15.00,0,1,6
