
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
1,1993,1,1993-09-05,21-201,RAM,@,GNB,L 6-36,5,24,4.80,0,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0
2,1993,2,1993-09-12,21-208,RAM,,PIT,W 27-0,16,76,4.75,1,1,1,-4,-4.00,0,0,0,,0,0,0,,,,1,6
3,1993,3,1993-09-19,21-215,RAM,@,NYG,L 10-20,9,33,3.67,0,2,1,1,1.00,0,0,0,,0,0,0,,,,0,0
4,1993,4,1993-09-26,21-222,RAM,@,HOU,W 28-13,11,25,2.27,1,1,1,11,11.00,0,0,0,,0,0,0,,,,1,6
5,1993,5,1993-10-03,21-229,RAM,,NOR,L 6-37,22,102,4.64,0,1,0,0,,0,0,0,,0,0,0,,,,0,0
6,1993,6,1993-10-14,21-240,RAM,@,ATL,L 24-30,19,85,4.47,1,3,3,53,17.67,0,0,0,,0,0,0,,,,1,6
7,1993,7,1993-10-24,21-250,RAM,,DET,L 13-16,23,113,4.91,0,1,0,0,,0,0,0,,0,0,0,,,,0,0
8,1993,8,1993-10-31,21-257,RAM,@,SFO,L 17-40,21,72,3.43,1,2,1,8,8.00,0,0,0,,0,0,0,,,,1,6
9,1993,9,1993-11-14,21-271,RAM,,ATL,L 0-13,11,27,2.45,0,3,2,10,5.00,0,0,0,,0,0,0,,,,0,0
10,1993,10,1993-11-21,21-278,RAM,,WAS,W 10-6,16,86,5.38,0,4,4,44,11.00,0,0,0,,0,0,0,,,,0,0
11,1993,11,1993-11-28,21-285,RAM,,SFO,L 10-35,18,133,7.39,0,2,2,17,8.50,0,0,0,,0,0,0,,,,0,0
12,1993,12,1993-12-05,21-292,RAM,@,PHO,L 10-38,16,115,7.19,0,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0
13,1993,13,1993-12-12,21-299,RAM,@,NOR,W 23-20,28,212,7.57,1,,0,0,,0,0,0,,0,0,0,,,,1,6
14,1993,14,1993-12-19,21-306,RAM,@,CIN,L 3-15,24,124,5.17,0,2,2,11,5.50,0,0,0,,0,0,0,,,,0,0
15,1993,15,1993-12-26,21-313,RAM,,CLE,L 14-42,16,56,3.50,1,3,2,12,6.00,0,0,0,,0,0,0,,,,1,6
16,1993,16,1994-01-02,21-320,RAM,,CHI,W 20-6,39,146,3.74,1,7,5,71,14.20,0,0,0,,0,0,0,,,,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
17,1994,1,1994-09-04,22-200,RAM,,ARI,W 14-12,21,52,2.48,1,1,0,0,,0,0,0,,0,0,0,,,,1,6
18,1994,2,1994-09-11,22-207,RAM,@,ATL,L 13-31,24,102,4.25,0,2,2,22,11.00,0,0,0,,0,0,0,,,,0,0
19,1994,3,1994-09-18,22-214,RAM,,SFO,L 19-34,21,104,4.95,1,0,0,0,,0,0,0,,0,0,0,,,,1,6
20,1994,4,1994-09-25,22-221,RAM,@,KAN,W 16-0,35,132,3.77,0,2,2,24,12.00,0,0,0,,0,0,0,,,,0,0
21,1994,5,1994-10-02,22-228,RAM,,ATL,L 5-8,29,117,4.03,0,1,1,6,6.00,0,0,0,,0,0,0,,,,0,0
22,1994,6,1994-10-09,22-235,RAM,@,GNB,L 17-24,22,65,2.95,0,3,1,10,10.00,0,0,0,,0,0,0,,,,0,0
23,1994,7,1994-10-16,22-242,RAM,,NYG,W 17-10,30,88,2.93,0,4,3,62,20.67,0,0,0,,0,0,0,,,,0,0
24,1994,8,1994-10-23,22-249,RAM,@,NOR,L 34-37,18,63,3.50,0,2,1,9,9.00,0,0,0,,0,0,0,,,,0,0
25,1994,9,1994-11-06,22-263,RAM,,DEN,W 27-21,33,91,2.76,1,7,6,21,3.50,0,0,0,,0,0,0,,,,1,6
26,1994,10,1994-11-13,22-270,RAM,,RAI,L 17-20,10,13,1.30,0,3,2,26,13.00,0,0,0,,0,0,0,,,,0,0
27,1994,11,1994-11-20,22-277,RAM,@,SFO,L 27-31,15,29,1.93,0,4,3,43,14.33,0,0,0,,0,0,0,,,,0,0
28,1994,12,1994-11-27,22-284,RAM,@,SDG,L 17-31,10,38,3.80,0,3,1,3,3.00,0,0,0,,0,0,0,,,,0,0
29,1994,13,1994-12-04,22-291,RAM,,NOR,L 15-31,15,53,3.53,0,3,3,13,4.33,1,0,0,,0,0,0,,,,1,6
30,1994,14,1994-12-11,22-298,RAM,@,TAM,L 14-24,13,23,1.77,0,3,2,16,8.00,0,0,0,,0,0,0,,,,0,0
31,1994,15,1994-12-18,22-305,RAM,@,CHI,L 13-27,8,7,0.88,0,4,1,12,12.00,0,0,0,,0,0,0,,,,0,0
32,1994,16,1994-12-24,22-311,RAM,,WAS,L 21-24,15,48,3.20,0,3,3,26,8.67,0,0,0,,0,0,0,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts
