
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
1,1960,3,1960-10-09,24-257,SFO,@,DET,W 14-10,2,42,21.00,0,0,0,0,0,0
2,1960,4,1960-10-16,24-264,SFO,@,CHI,L 10-27,1,30,30.00,0,0,0,0,0,0
3,1960,5,1960-10-23,24-271,SFO,@,GNB,L 14-41,5,106,21.20,0,0,0,0,0,0
4,1960,6,1960-10-30,24-278,SFO,,CHI,W 25-7,1,15,15.00,0,0,0,0,0,0
5,1960,9,1960-11-27,24-306,SFO,@,BAL,W 30-22,2,67,33.50,0,0,0,0,0,0
6,1960,11,1960-12-10,24-319,SFO,,GNB,L 0-13,3,64,21.33,0,0,0,0,0,0
7,1960,12,1960-12-18,24-327,SFO,,BAL,W 34-10,3,202,67.33,1,1,6,0,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
8,1961,1,1961-09-17,25-234,BAL,,RAM,W 27-24,4,104,26.00,0,0,0,0,0,0
9,1961,2,1961-09-24,25-241,BAL,,DET,L 15-16,2,46,23.00,0,0,0,0,0,0
10,1961,3,1961-10-01,25-248,BAL,,MIN,W 34-33,1,20,20.00,0,0,0,0,0,0
11,1961,4,1961-10-08,25-255,BAL,@,GNB,L 7-45,4,77,19.25,0,0,0,0,0,0
12,1961,5,1961-10-15,25-262,BAL,@,CHI,L 10-24,3,67,22.33,0,0,0,0,0,0
13,1961,7,1961-10-29,25-276,BAL,,CHI,L 20-21,3,55,18.33,0,0,0,0,0,0
14,1961,8,1961-11-05,25-283,BAL,,GNB,W 45-21,3,100,33.33,0,0,0,0,0,0
15,1961,9,1961-11-12,25-290,BAL,@,MIN,L 20-28,2,55,27.50,0,0,0,0,0,0
16,1961,11,1961-11-26,25-304,BAL,@,WAS,W 27-6,1,26,26.00,0,0,0,0,0,0
17,1961,12,1961-12-03,25-311,BAL,,SFO,W 20-17,2,45,22.50,0,0,0,0,0,0
18,1961,13,1961-12-09,25-317,BAL,@,RAM,L 17-34,3,77,25.67,0,0,0,0,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
19,1963,1,1963-09-15,27-232,BAL,,NYG,L 28-37,0,0,,0,0,0,1,0,0
20,1963,13,1963-12-08,27-316,BAL,,MIN,W 41-10,0,0,,0,1,6,1,36,1
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
21,1964,2,1964-09-20,28-238,BAL,@,GNB,W 21-20,0,0,,0,0,0,1,23,0
22,1964,12,1964-11-29,28-308,BAL,@,SFO,W 14-3,0,0,,0,0,0,1,17,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
23,1965,13,1965-12-12,29-320,BAL,,GNB,L 27-42,0,0,,0,0,0,1,28,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
24,1966,5,1966-10-16,30-263,BAL,,DET,W 45-14,0,0,,0,0,0,1,6,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
25,1967,2,1967-09-24,31-241,BAL,@,PHI,W 38-6,0,0,,0,0,0,1,1,0
26,1967,4,1967-10-08,31-255,BAL,@,CHI,W 24-3,0,0,,0,0,0,1,2,0
27,1967,10,1967-11-19,31-297,BAL,,DET,W 41-7,0,0,,0,0,0,1,20,0
28,1967,11,1967-11-26,31-304,BAL,@,SFO,W 26-9,0,0,,0,1,6,2,36,1
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
29,1968,1,1968-09-15,32-233,BAL,,SFO,W 27-10,0,0,,0,0,0,1,11,0
30,1968,10,1968-11-17,32-296,BAL,,STL,W 27-0,0,0,,0,0,0,2,12,0
31,1968,12,1968-12-01,32-310,BAL,,ATL,W 44-0,0,0,,0,0,0,1,0,0
32,1968,13,1968-12-07,32-316,BAL,@,GNB,W 16-3,0,0,,0,0,0,1,9,0
,,,32 Games,,,,,21-11-0,45,1198,26.62,1,3,18,16,201,2
