
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1968,1,1968-09-15,23-257,CHI,,WAS,L 28-38,0,0,,0,,1,9,9.00,0,0,0
2,1968,6,1968-10-20,23-292,CHI,@,PHI,W 29-16,1,5,5.00,0,,0,0,,0,0,0
3,1968,11,1968-11-24,23-327,CHI,,DAL,L 3-34,10,21,2.10,0,,3,11,3.67,0,0,0
4,1968,12,1968-12-01,23-334,CHI,@,NOR,W 23-17,1,-4,-4.00,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,1969,8,1969-11-09,24-311,CHI,,PIT,W 38-7,1,-1,-1.00,0,,0,0,,0,0,0
6,1969,11,1969-11-30,24-332,CHI,,CLE,L 24-28,11,50,4.55,1,,2,16,8.00,0,1,6
7,1969,12,1969-12-06,24-338,CHI,@,SFO,L 21-42,8,18,2.25,0,,6,48,8.00,0,0,0
8,1969,13,1969-12-14,24-346,CHI,,GNB,L 3-21,7,11,1.57,0,,2,-1,-0.50,0,0,0
9,1969,14,1969-12-21,24-353,CHI,,DET,L 3-20,2,3,1.50,0,,2,0,0.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
10,1970,2,1970-09-27,25-268,CHI,,PHI,W 20-16,8,17,2.13,0,,3,23,7.67,0,0,0
11,1970,3,1970-10-05,25-276,CHI,@,DET,L 14-28,11,21,1.91,0,,1,10,10.00,0,0,0
12,1970,4,1970-10-11,25-282,CHI,,MIN,L 0-24,3,5,1.67,0,,5,2,0.40,0,0,0
13,1970,5,1970-10-18,25-289,CHI,,SDG,L 7-20,5,32,6.40,0,,3,13,4.33,0,0,0
14,1970,6,1970-10-25,25-296,CHI,,DET,L 10-16,1,5,5.00,0,,0,0,,0,0,0
15,1970,8,1970-11-08,25-310,CHI,,SFO,L 16-37,0,0,,0,,1,-4,-4.00,0,0,0
16,1970,12,1970-12-05,25-337,CHI,@,MIN,L 13-16,3,8,2.67,0,,0,0,,0,0,0
17,1970,13,1970-12-13,25-345,CHI,,GNB,W 35-17,1,11,11.00,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
18,1971,5,1971-10-17,26-288,WAS,,STL,W 20-0,2,8,4.00,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
19,1973,1,1973-09-16,28-257,WAS,,SDG,W 38-0,1,-2,-2.00,0,,0,0,,0,0,0
20,1973,3,1973-09-30,28-271,WAS,@,PHI,W 28-7,1,-1,-1.00,0,,0,0,,0,0,0
,,,20 Games,,,,,8-12-0,77,207,2.69,1,,29,127,4.38,0,1,6
