
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1998,2,1998-09-13,23-291,GNB,,TAM,W 23-15,2,3,1.50,0,1,1,10,10.00,0
2,1998,9,1998-11-08,23-347,CIN,@,JAX,L 11-24,1,4,4.00,0,1,1,7,7.00,0
3,1998,11,1998-11-22,23-361,GNB,@,MIN,L 14-28,0,0,,0,1,1,3,3.00,0
,,,3 Games,,,,,1-2-0,3,7,2.33,0,3,3,20,6.67,0
