
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
34,1967,9,1967-11-12,24-217,GNB,,CLE,W 55-7,6,24,4.00,0,,0,0,,0,0,0,,0,,,,,,,0,0
35,1967,10,1967-11-19,24-224,NYG,,PIT,W 28-20,,,,,,,,,,,,,,,,,,,,,
36,1967,11,1967-11-26,24-231,NYG,,PHI,W 44-7,,,,,,,,,,,,,,,,,,,,,
37,1967,12,1967-12-03,24-238,NYG,@,CLE,L 14-24,,,,,,,,,,,,,,,,,,,,,
38,1967,13,1967-12-09,24-244,GNB,@,RAM,L 24-27,4,12,3.00,1,,1,6,6.00,0,0,0,,0,,,,,,,1,6
39,1967,13,1967-12-10,24-245,NYG,,DET,L 7-30,,,,,,,,,,,,,,,,,,,,,
40,1967,14,1967-12-17,24-252,GNB,,PIT,L 17-24,4,20,5.00,0,,0,0,,0,0,0,,0,,,,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
41,1968,1,1968-09-15,25-159,GNB,,PHI,W 30-13,,,,,,,,,,,,,,,,,,,,,
42,1968,2,1968-09-22,25-166,GNB,,MIN,L 13-26,,,,,,,,,,,,,,,,,,,,,
43,1968,3,1968-09-29,25-173,GNB,,DET,L 17-23,,,,,,,,,,,,,,,,,,,,,
44,1968,4,1968-10-06,25-180,GNB,@,ATL,W 38-7,2,1,0.50,0,,0,0,,0,0,0,,0,4,4,100.0,1,2,50.0,0,7
45,1968,5,1968-10-13,25-187,GNB,,RAM,L 14-16,,,,,,,,,,,,,,,,,,,,,
46,1968,6,1968-10-20,25-194,GNB,@,DET,T 14-14,0,0,,0,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
47,1968,7,1968-10-28,25-202,GNB,@,DAL,W 28-17,,,,,,,,,,,,,,,,,,,,,
48,1968,8,1968-11-03,25-208,GNB,,CHI,L 10-13,0,0,,0,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
49,1968,9,1968-11-10,25-215,GNB,@,MIN,L 10-14,,,,,,,,,,,,,,,,,,,,,
50,1968,10,1968-11-17,25-222,GNB,,NOR,W 29-7,8,21,2.63,0,,0,0,,0,0,0,,0,,,,,,,0,0
51,1968,11,1968-11-24,25-229,GNB,@,WAS,W 27-7,5,24,4.80,0,,1,9,9.00,0,0,0,,0,,,,,,,0,0
52,1968,12,1968-12-01,25-236,GNB,@,SFO,L 20-27,,,,,,,,,,,,,,,,,,,,,
53,1968,13,1968-12-07,25-242,GNB,,BAL,L 3-16,0,0,,0,,1,3,3.00,0,0,0,,0,,,,,,,0,0
54,1968,14,1968-12-15,25-250,GNB,@,CHI,W 28-27,2,3,1.50,1,,1,-6,-6.00,0,0,0,,0,,,,,,,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
55,1970,6,1970-10-25,27-199,NYJ,,BUF,L 6-10,1,-3,-3.00,0,,0,0,,0,0,0,,0,,,,,,,0,0
56,1970,7,1970-11-01,27-206,NYJ,,NYG,L 10-22,5,4,0.80,0,,0,0,,0,0,0,,0,,,,,,,0,0
57,1970,8,1970-11-08,27-213,NYJ,@,PIT,L 17-21,1,2,2.00,0,,3,27,9.00,1,0,0,,0,,,,,,,1,6
58,1970,9,1970-11-15,27-220,NYJ,@,RAM,W 31-20,4,7,1.75,0,,0,0,,0,0,0,,0,,,,,,,0,0
59,1970,10,1970-11-22,27-227,NYJ,,BOS,W 17-3,9,34,3.78,0,,0,0,,0,0,0,,0,,,,,,,0,0
60,1970,12,1970-12-06,27-241,NYJ,,OAK,L 13-14,0,0,,0,,0,0,,0,2,20,10.00,0,,,,,,,0,0
61,1970,13,1970-12-13,27-248,NYJ,@,MIA,L 10-16,0,0,,0,,0,0,,0,1,3,3.00,0,,,,,,,0,0
62,1970,14,1970-12-19,27-254,NYJ,@,BAL,L 20-35,0,0,,0,,0,0,,0,1,9,9.00,0,,,,,,,0,0
,,,62 Games,,,,,23-37-2,164,531,3.24,4,,37,205,5.54,1,5,36,7.20,0,9,10,90.0,2,8,25.0,5,45
