
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1989,1,1989-09-10,24-238,DEN,,KAN,W 34-20,8,35,4.38,0,,3,35,11.67,0,0,0
2,1989,2,1989-09-18,24-246,DEN,@,BUF,W 28-14,4,12,3.00,0,,4,40,10.00,0,0,0
3,1989,3,1989-09-24,24-252,DEN,,RAI,W 31-21,8,23,2.88,1,,0,0,,0,1,6
4,1989,4,1989-10-01,24-259,DEN,@,CLE,L 13-16,5,17,3.40,0,,0,0,,0,0,0
5,1989,5,1989-10-08,24-266,DEN,,SDG,W 16-10,1,2,2.00,0,,0,0,,0,0,0
6,1989,6,1989-10-15,24-273,DEN,,IND,W 14-3,5,25,5.00,0,,0,0,,0,0,0
7,1989,7,1989-10-22,24-280,DEN,@,SEA,W 24-21,1,2,2.00,0,,0,0,,0,0,0
8,1989,10,1989-11-12,24-301,DEN,@,KAN,W 16-13,2,3,1.50,0,,0,0,,0,0,0
9,1989,11,1989-11-20,24-309,DEN,@,WAS,W 14-10,1,3,3.00,0,,0,0,,0,0,0
10,1989,12,1989-11-26,24-315,DEN,,SEA,W 41-14,2,10,5.00,0,,0,0,,0,0,0
11,1989,13,1989-12-03,24-322,DEN,@,RAI,L 13-16,2,5,2.50,0,,0,0,,0,0,0
12,1989,14,1989-12-10,24-329,DEN,,NYG,L 7-14,0,0,,0,,0,0,,0,,
13,1989,15,1989-12-16,24-335,DEN,@,PHO,W 37-0,4,8,2.00,0,,0,0,,0,0,0
14,1989,16,1989-12-24,24-343,DEN,@,SDG,L 16-19,2,1,0.50,1,,1,9,9.00,0,1,6
,,,14 Games,,,,,10-4-0,45,146,3.24,2,,8,84,10.50,0,2,12
