
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1973,1,1973-09-16,22-163,DAL,@,CHI,W 20-17,0,0,,0,2,50,25.00,0
2,1973,3,1973-09-30,22-177,DAL,,STL,W 45-10,2,17,8.50,0,1,24,24.00,0
3,1973,4,1973-10-08,22-185,DAL,@,WAS,L 7-14,0,0,,0,1,12,12.00,0
,,,3 Games,,,,,2-1-0,2,17,8.50,0,4,86,21.50,0
