
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
1,1960,1,1960-09-10,29-174,LAC,,DTX,W 21-20,1,24,24.00,0,1,0,0.00,0,1,26,0
2,1960,2,1960-09-18,29-182,LAC,@,HOU,L 28-38,1,14,14.00,0,0,0,,0,0,0,0
3,1960,3,1960-09-25,29-189,LAC,@,DTX,L 0-17,2,45,22.50,0,1,2,2.00,0,0,0,0
4,1960,4,1960-10-02,29-196,LAC,@,BUF,W 24-10,2,33,16.50,0,0,0,,0,1,47,0
5,1960,5,1960-10-08,29-202,LAC,,BOS,L 0-35,2,39,19.50,0,0,0,,0,0,0,0
6,1960,10,1960-11-20,29-245,LAC,,BUF,L 3-32,0,0,,0,3,20,6.67,0,0,0,0
7,1960,13,1960-12-10,29-265,LAC,,DEN,W 41-33,0,0,,0,1,14,14.00,0,0,0,0
8,1960,14,1960-12-18,29-273,LAC,,NYT,W 50-43,0,0,,0,3,65,21.67,0,0,0,0
,,,8 Games,,,,,4-4-0,8,155,19.38,0,9,101,11.22,0,2,73,0
