
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
1,1996,7,1996-10-13,26-027,OAK,,DET,W 37-21,5,4,21,5.25,0,0,0,,0
2,1996,8,1996-10-21,26-035,OAK,@,SDG,W 23-14,,0,0,,0,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
3,1997,2,1997-09-08,26-357,OAK,,KAN,L 27-28,1,1,9,9.00,0,0,0,,0
4,1997,3,1997-09-14,26-363,OAK,@,ATL,W 36-31,3,1,25,25.00,0,0,0,,0
5,1997,4,1997-09-21,27-005,OAK,@,NYJ,L 22-23,,0,0,,0,0,0,,0
6,1997,5,1997-09-28,27-012,OAK,,STL,W 35-17,1,0,0,,0,0,0,,0
7,1997,6,1997-10-05,27-019,OAK,,SDG,L 10-25,0,0,0,,0,0,0,,0
8,1997,14,1997-12-07,27-082,OAK,@,KAN,L 0-30,0,0,0,,0,2,4,2.00,0
9,1997,15,1997-12-14,27-089,OAK,,SEA,L 21-22,1,0,0,,0,0,0,,0
10,1997,16,1997-12-21,27-096,OAK,,JAX,L 9-20,,0,0,,0,0,0,,0
,,,10 Games,,,,,4-6-0,11,6,55,9.17,0,2,4,2.00,0
