
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1960,1,1960-09-10,27-209,LAC,,DTX,W 21-20,3,1,0.33,0,,1,3,3.00,0,0,0,,0,0,0,,,
2,1960,2,1960-09-18,27-217,LAC,@,HOU,L 28-38,6,4,0.67,0,,2,21,10.50,0,0,1,0.00,0,0,1,0.0,0.00,-45.00
,,,2 Games,,,,,1-1-0,9,5,0.56,0,,3,24,8.00,0,0,1,0.00,0,0,1,0.0,0.00,-45.00
