
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,1989,12,1989-11-26,25-098,TAM,@,PHO,W 14-13,,1,11,11.00,0
2,1989,13,1989-12-03,25-105,TAM,,GNB,L 16-17,,0,0,,0
3,1989,14,1989-12-10,25-112,TAM,@,HOU,L 17-20,,0,0,,0
4,1989,15,1989-12-17,25-119,TAM,@,DET,L 7-33,,0,0,,0
5,1989,16,1989-12-24,25-126,TAM,,PIT,L 22-31,,0,0,,0
,,,5 Games,,,,,1-4-0,,1,11,11.00,0
