
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1968,1,1968-09-15,23-012,SFO,@,BAL,L 10-27,0,0,,0,2,43,21.50,0
2,1968,2,1968-09-22,23-019,SFO,,STL,W 35-17,2,1,0.50,0,0,0,,0
3,1968,7,1968-10-27,23-054,ATL,@,CLE,L 7-30,3,4,1.33,0,1,20,20.00,0
4,1968,8,1968-11-03,23-061,ATL,,PIT,L 21-41,1,2,2.00,0,0,0,,0
,,,4 Games,,,,,1-3-0,6,7,1.17,0,3,63,21.00,0
