
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-288,KAN,@,RAI,L 17-35,1,2,2.00,0,,0,0,,0
2,1987,4,1987-10-11,24-295,KAN,@,MIA,L 0-42,0,0,,0,,1,4,4.00,0
,,,2 Games,,,,,0-2-0,1,2,2.00,0,,1,4,4.00,0
