
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,30-163,BUF,,IND,L 6-47,7,38,5.43,0,,0,0,,0
2,1987,4,1987-10-11,30-170,BUF,@,NWE,L 7-14,5,4,0.80,0,,1,2,2.00,0
,,,2 Games,,,,,0-2-0,12,42,3.50,0,,1,2,2.00,0
