
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,4,1987-10-11,24-246,KAN,@,MIA,L 0-42,3,16,5.33,0,,2,12,6.00,0
2,1987,5,1987-10-18,24-253,KAN,,DEN,L 17-26,0,0,,0,,0,0,,0
,,,2 Games,,,,,0-2-0,3,16,5.33,0,,2,12,6.00,0
