
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2002,12,2002-11-28,27-324,DET,,NWE,L 12-20,,,,,0,,,,,,,,
2,2002,13,2002-12-08,27-334,DET,@,ARI,L 20-23,1,1,1.00,0,0,0,0,,0,1,55,55.00,0
3,2002,14,2002-12-15,27-341,DET,,TAM,L 20-23,8,50,6.25,0,0,0,0,,0,0,0,,0
4,2002,15,2002-12-22,27-348,DET,@,ATL,L 15-36,2,5,2.50,0,0,0,0,,0,0,0,,0
5,2002,16,2002-12-29,27-355,DET,,MIN,L 36-38,1,1,1.00,0,3,1,4,4.00,0,0,0,,0
,,,5 Games,,,,,0-5-0,12,57,4.75,0,3,1,4,4.00,0,1,55,55.00,0
