
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1984,1,1984-09-02,25-170,GNB,,STL,W 24-23,0,0,,0,,0,0,,0,,
2,1984,2,1984-09-09,25-177,GNB,@,RAI,L 7-28,1,3,3.00,0,,0,0,,0,0,0
3,1984,3,1984-09-16,25-184,GNB,,CHI,L 7-9,1,0,0.00,0,,0,0,,0,0,0
4,1984,4,1984-09-23,25-191,GNB,@,DAL,L 6-20,6,26,4.33,0,,0,0,,0,0,0
5,1984,5,1984-09-30,25-198,GNB,@,TAM,L 27-30,14,17,1.21,0,,0,0,,0,0,0
6,1984,6,1984-10-07,25-205,GNB,,SDG,L 28-34,0,0,,0,,0,0,,0,,
7,1984,7,1984-10-15,25-213,GNB,@,DEN,L 14-17,0,0,,0,,0,0,,0,,
8,1984,8,1984-10-21,25-219,GNB,,SEA,L 24-30,0,0,,0,,0,0,,0,,
9,1984,9,1984-10-28,25-226,GNB,,DET,W 41-9,6,8,1.33,0,,0,0,,0,0,0
10,1984,10,1984-11-04,25-233,GNB,@,NOR,W 23-13,0,0,,0,,0,0,,0,,
11,1984,11,1984-11-11,25-240,GNB,,MIN,W 45-17,4,14,3.50,0,,0,0,,0,0,0
12,1984,12,1984-11-18,25-247,GNB,,RAM,W 31-6,5,6,1.20,0,,1,0,0.00,0,0,0
13,1984,13,1984-11-22,25-251,GNB,@,DET,L 28-31,2,20,10.00,0,,2,30,15.00,0,0,0
14,1984,14,1984-12-02,25-261,GNB,,TAM,W 27-14,6,31,5.17,0,,4,36,9.00,1,1,6
15,1984,15,1984-12-09,25-268,GNB,@,CHI,W 20-14,2,1,0.50,0,,2,27,13.50,0,0,0
16,1984,16,1984-12-16,25-275,GNB,@,MIN,W 38-14,6,43,7.17,0,,0,0,,0,0,0
,,,16 Games,,,,,8-8-0,53,169,3.19,0,,9,93,10.33,1,1,6
