
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,4,1987-10-11,23-330,GNB,,DET,L 16-19,9,26,2.89,0,,0,0,,0
2,1987,5,1987-10-18,23-337,GNB,,PHI,W 16-10,1,0,0.00,0,,1,17,17.00,0
,,,2 Games,,,,,1-1-0,10,26,2.60,0,,1,17,17.00,0
