
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,1999,1,1999-09-12,23-229,GNB,,OAK,W 28-24
2,1999,2,1999-09-19,23-236,GNB,@,DET,L 15-23
3,1999,3,1999-09-26,23-243,GNB,,MIN,W 23-20
4,1999,4,1999-10-10,23-257,GNB,,TAM,W 26-23
5,1999,12,1999-12-05,23-313,GNB,@,CHI,W 35-19
6,1999,13,1999-12-12,23-320,GNB,,CAR,L 31-33
7,1999,15,1999-12-26,23-334,GNB,@,TAM,L 10-29
8,1999,16,2000-01-02,23-341,GNB,,ARI,W 49-24
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
9,2000,1,2000-09-03,24-221,GNB,,NYJ,L 16-20
10,2000,2,2000-09-10,24-228,GNB,@,BUF,L 18-27
11,2000,3,2000-09-17,24-235,GNB,,PHI,W 6-3
12,2000,4,2000-09-24,24-242,GNB,@,ARI,W 29-3
13,2000,5,2000-10-01,24-249,GNB,,CHI,L 24-27
14,2000,6,2000-10-08,24-256,GNB,@,DET,L 24-31
15,2000,7,2000-10-15,24-263,GNB,,SFO,W 31-28
16,2000,8,2000-10-29,24-277,GNB,@,MIA,L 20-28
17,2000,9,2000-11-06,24-285,GNB,,MIN,W 26-20
18,2000,10,2000-11-12,24-291,GNB,@,TAM,L 15-20
19,2000,11,2000-11-19,24-298,GNB,,IND,W 26-24
20,2000,12,2000-11-27,24-306,GNB,@,CAR,L 14-31
21,2000,13,2000-12-03,24-312,GNB,@,CHI,W 28-6
22,2000,14,2000-12-10,24-319,GNB,,DET,W 26-13
23,2000,15,2000-12-17,24-326,GNB,@,MIN,W 33-28
24,2000,16,2000-12-24,24-333,GNB,,TAM,W 17-14
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
25,2001,1,2001-09-09,25-226,MIN,,CAR,L 13-24
26,2001,2,2001-09-23,25-240,MIN,@,CHI,L 10-17
27,2001,3,2001-09-30,25-247,MIN,,TAM,W 20-16
28,2001,4,2001-10-07,25-254,MIN,@,NOR,L 15-28
,,,28 Games,,,,,15-13-0
