
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1982,1,1982-09-12,22-063,MIA,@,NYJ,W 45-28,1,3,3.00,0
2,1982,2,1982-09-19,22-070,MIA,,BAL,W 24-20,0,0,,0
,,,2 Games,,,,,2-0-0,1,3,3.00,0
