
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-10,29-029,LAC,,DTX,W 21-20,,7,92,13.14,0,0,0
2,1960,2,1960-09-18,29-037,LAC,@,HOU,L 28-38,,5,65,13.00,2,2,12
3,1960,5,1960-10-08,29-057,LAC,,BOS,L 0-35,,3,22,7.33,0,0,0
4,1960,6,1960-10-16,29-065,LAC,@,DEN,W 23-19,,4,57,14.25,0,0,0
5,1960,8,1960-11-04,29-084,LAC,@,NYT,W 21-7,,2,15,7.50,0,0,0
6,1960,9,1960-11-13,29-093,LAC,,HOU,W 24-21,,1,6,6.00,0,0,0
7,1960,11,1960-11-27,29-107,LAC,,OAK,W 52-28,,2,11,5.50,0,0,0
8,1960,12,1960-12-04,29-114,LAC,@,OAK,W 41-17,,3,12,4.00,1,1,6
9,1960,13,1960-12-10,29-120,LAC,,DEN,W 41-33,,3,20,6.67,1,1,6
10,1960,14,1960-12-18,29-128,LAC,,NYT,W 50-43,,2,16,8.00,0,0,0
,,,10 Games,,,,,8-2-0,,32,316,9.88,4,4,24
