
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1966,12,1966-12-04,23-211,MIN,,ATL,L 13-20,1,2,2.00,0,1,19,19.00,0,0,0,,0
2,1966,13,1966-12-11,23-218,MIN,@,DET,W 28-16,0,0,,0,2,42,21.00,0,1,3,3.00,0
3,1966,14,1966-12-18,23-225,MIN,@,CHI,L 28-41,0,0,,0,0,0,,0,3,-5,-1.67,0
,,,3 Games,,,,,1-2-0,1,2,2.00,0,3,61,20.33,0,4,-2,-0.50,0
