
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1985,6,1985-10-13,22-205,RAI,,NOR,W 23-13,2,1,0.50,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
2,1986,3,1986-09-21,23-183,RAI,,NYG,L 9-14,1,0,0.00,0,,0,0,,0,0,0
3,1986,4,1986-09-28,23-190,RAI,,SDG,W 17-13,4,3,0.75,0,,0,0,,0,0,0
4,1986,5,1986-10-05,23-197,RAI,@,KAN,W 24-17,7,33,4.71,0,,0,0,,0,0,0
5,1986,12,1986-11-20,23-243,RAI,@,SDG,W 37-31,5,13,2.60,0,,0,0,,0,0,0
6,1986,14,1986-12-08,23-261,RAI,@,SEA,L 0-37,1,4,4.00,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
7,1987,1,1987-09-13,24-175,RAI,@,GNB,W 20-0,4,19,4.75,0,,0,0,,0,0,0
8,1987,2,1987-09-20,24-182,RAI,,DET,W 27-7,7,33,4.71,0,,0,0,,0,0,0
9,1987,5,1987-10-18,24-210,RAI,,SDG,L 17-23,6,31,5.17,0,,2,16,8.00,0,0,0
10,1987,11,1987-11-30,24-253,RAI,@,SEA,W 37-14,6,12,2.00,0,,0,0,,0,0,0
11,1987,12,1987-12-06,24-259,RAI,,BUF,W 34-21,1,2,2.00,0,,0,0,,0,0,0
12,1987,14,1987-12-20,24-273,RAI,,CLE,L 17-24,1,2,2.00,0,,2,26,13.00,0,0,0
13,1987,15,1987-12-27,24-280,RAI,,CHI,L 3-6,3,9,3.00,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
14,1988,6,1988-10-09,25-201,RAI,,MIA,L 14-24,1,5,5.00,0,,3,19,6.33,1,1,6
15,1988,7,1988-10-16,25-208,RAI,@,KAN,W 27-17,1,5,5.00,0,,0,0,,0,0,0
16,1988,8,1988-10-23,25-215,RAI,@,NOR,L 6-20,2,2,1.00,0,,0,0,,0,0,0
,,,16 Games,,,,,9-7-0,52,174,3.35,0,,7,61,8.71,1,1,6
