
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1970,11,1970-11-29,24-001,NOR,@,CIN,L 6-26,4,9,2.25,0,,2,11,5.50,0
2,1970,12,1970-12-06,24-008,NOR,@,RAM,L 16-34,18,65,3.61,0,,2,18,9.00,0
3,1970,13,1970-12-13,24-015,NOR,,SFO,L 27-38,5,20,4.00,0,,0,0,,0
,,,3 Games,,,,,0-3-0,27,94,3.48,0,,4,29,7.25,0
