
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1999,1,1999-09-12,25-319,TEN,,CIN,W 36-35,4,63,15.75,0,1,18,18.00,0
2,1999,2,1999-09-19,25-326,TEN,,CLE,W 26-9,,,,,,,,
3,1999,3,1999-09-26,25-333,TEN,@,JAX,W 20-19,,,,,,,,
4,1999,4,1999-10-03,25-340,TEN,@,SFO,L 22-24,,,,,,,,
5,1999,5,1999-10-10,25-347,TEN,,BAL,W 14-11,,,,,,,,
6,1999,6,1999-10-17,25-354,TEN,@,NOR,W 24-21,,,,,,,,
7,1999,7,1999-10-31,26-003,TEN,,STL,W 24-21,,,,,,,,
8,1999,16,2000-01-02,26-066,TEN,@,PIT,W 47-36,,,,,,,,
,,,8 Games,,,,,7-1-0,4,63,15.75,0,1,18,18.00,0
