
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2012,1,2012-09-09,24-263,PIT,@,DEN,L 19-31,1,-1,-1.00,0,0,0,0,,0,0,0
2,2012,2,2012-09-16,24-270,PIT,,NYJ,W 27-10,1,1,1.00,0,0,0,0,,0,0,0
3,2012,3,2012-09-23,24-277,PIT,@,OAK,L 31-34,4,12,3.00,0,2,2,20,10.00,0,0,0
4,2012,4,2012-10-07,24-291,PIT,,PHI,W 16-14,,,,,,,,,,,
5,2012,5,2012-10-11,24-295,PIT,@,TEN,L 23-26,10,22,2.20,1,1,1,3,3.00,0,1,6
6,2012,6,2012-10-21,24-305,PIT,@,CIN,W 24-17,2,4,2.00,0,1,0,0,,0,0,0
7,2012,7,2012-10-28,24-312,PIT,,WAS,W 27-12,4,1,0.25,0,1,1,8,8.00,0,0,0
8,2012,8,2012-11-04,24-319,PIT,@,NYG,W 24-20,2,7,3.50,0,0,0,0,,0,0,0
9,2012,9,2012-11-12,24-327,PIT,,KAN,W 16-13,0,0,,0,0,0,0,,0,0,0
10,2012,10,2012-11-18,24-333,PIT,,BAL,L 10-13,1,3,3.00,0,0,0,0,,0,0,0
11,2012,14,2012-12-16,24-361,PIT,@,DAL,L 24-27,,,,,,,,,,,
12,2012,15,2012-12-23,25-002,PIT,,CIN,L 10-13,,,,,,,,,,,
,,,12 Games,,,,,6-6-0,25,49,1.96,1,5,4,31,7.75,0,1,6
