
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1980,10,1980-11-09,24-190,GNB,,SFO,W 23-16,1,1,1.00,0,,0,0,,0
2,1980,14,1980-12-07,24-218,GNB,@,CHI,L 7-61,1,1,1.00,0,,0,0,,0
3,1980,16,1980-12-21,24-232,GNB,@,DET,L 3-24,2,3,1.50,0,,2,2,1.00,0
,,,3 Games,,,,,1-2-0,4,5,1.25,0,,2,2,1.00,0
