
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1999,2,1999-09-19,22-304,MIA,,ARI,W 19-16,15,45,3.00,0,0,0,0,,0,0,0
2,1999,3,1999-10-04,22-319,MIA,,BUF,L 18-23,16,47,2.94,0,2,2,5,2.50,0,0,0
3,1999,4,1999-10-10,22-325,MIA,@,IND,W 34-31,21,76,3.62,1,1,0,0,,0,1,6
4,1999,5,1999-10-17,22-332,MIA,@,NWE,W 31-30,20,59,2.95,0,2,1,5,5.00,0,0,0
5,1999,6,1999-10-24,22-339,MIA,,PHI,W 16-13,26,97,3.73,0,1,1,6,6.00,0,0,0
6,1999,7,1999-10-31,22-346,MIA,@,OAK,W 16-9,15,49,3.27,1,2,2,16,8.00,0,1,6
7,1999,8,1999-11-07,22-353,MIA,,TEN,W 17-0,14,41,2.93,0,0,0,0,,0,0,0
8,1999,9,1999-11-14,22-360,MIA,@,BUF,L 3-23,4,0,0.00,0,0,0,0,,0,0,0
,,,8 Games,,,,,6-2-0,131,414,3.16,2,8,6,32,5.33,0,2,12
