
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,27-099,BUF,,IND,L 6-47,8,22,2.75,0,,1,5,5.00,0
2,1987,4,1987-10-11,27-106,BUF,@,NWE,L 7-14,1,3,3.00,0,,0,0,,0
,,,2 Games,,,,,0-2-0,9,25,2.78,0,,1,5,5.00,0
