
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-25,27-116,BAL,,WAS,W 20-0,7,14,2.00,0,,1,19,19.00,0,0,0
2,1960,2,1960-10-02,27-123,BAL,,CHI,W 42-7,12,39,3.25,1,,0,0,,0,1,6
3,1960,3,1960-10-09,27-130,BAL,@,GNB,L 21-35,12,35,2.92,1,,2,14,7.00,0,1,6
4,1960,4,1960-10-16,27-137,BAL,,RAM,W 31-17,8,23,2.88,0,,2,14,7.00,0,0,0
5,1960,5,1960-10-23,27-144,BAL,@,DET,L 17-30,12,53,4.42,0,,2,9,4.50,0,0,0
6,1960,6,1960-10-30,27-151,BAL,@,DAL,W 45-7,7,22,3.14,0,,0,0,,0,0,0
7,1960,7,1960-11-06,27-158,BAL,,GNB,W 38-24,5,6,1.20,0,,0,0,,0,0,0
8,1960,8,1960-11-13,27-165,BAL,@,CHI,W 24-20,4,5,1.25,1,,0,0,,0,1,6
9,1960,9,1960-11-27,27-179,BAL,,SFO,L 22-30,10,51,5.10,0,,0,0,,0,0,0
10,1960,10,1960-12-04,27-186,BAL,,DET,L 15-20,3,15,5.00,0,,0,0,,0,0,0
,,,10 Games,,,,,6-4-0,80,263,3.29,3,,7,56,8.00,0,3,18
