
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1995,2,1995-09-10,21-309,NWE,,MIA,L 3-20,,0,0,,0,0,0,,0
2,1995,3,1995-09-17,21-316,NWE,@,SFO,L 3-28,,0,0,,0,0,0,,0
3,1995,4,1995-10-01,21-330,NWE,@,ATL,L 17-30,0,0,0,,0,1,7,7.00,0
4,1995,5,1995-10-08,21-337,NWE,,DEN,L 3-37,2,1,4,4.00,0,0,0,,0
5,1995,6,1995-10-15,21-344,NWE,@,KAN,L 26-31,,0,0,,0,0,0,,0
6,1995,7,1995-10-23,21-352,NWE,,BUF,W 27-14,,0,0,,0,0,0,,0
7,1995,16,1995-12-23,22-048,NWE,@,IND,L 7-10,,0,0,,0,0,0,,0
,,,7 Games,,,,,1-6-0,2,1,4,4.00,0,1,7,7.00,0
