
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Int,Yds,TD
1,1988,2,1988-09-11,25-086,RAI,@,HOU,L 35-38,1,0,0.00,0,0,0,0
2,1988,4,1988-09-26,25-101,RAI,@,DEN,W 30-27,0,0,,0,1,20,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Int,Yds,TD
3,1989,8,1989-10-29,26-134,RAI,,WAS,W 37-24,1,0,0.00,0,0,0,0
,,,3 Games,,,,,2-1-0,2,0,0.00,0,1,20,0
