
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,1,1987-09-13,22-162,SEA,@,DEN,L 17-40,0,0,,0,1,1,1.00,0
2,1987,2,1987-09-20,22-169,SEA,,KAN,W 43-14,2,5,2.50,0,0,0,,0
3,1987,6,1987-10-25,22-204,SEA,@,RAI,W 35-13,0,0,,0,0,0,,0
4,1987,7,1987-11-01,22-211,SEA,,MIN,W 28-17,0,0,,0,0,0,,0
5,1987,8,1987-11-09,22-219,SEA,@,NYJ,L 14-30,0,0,,0,0,0,,0
6,1987,9,1987-11-15,22-225,SEA,,GNB,W 24-13,0,0,,0,0,0,,0
7,1987,10,1987-11-22,22-232,SEA,,SDG,W 34-3,5,31,6.20,0,0,0,,0
8,1987,11,1987-11-30,22-240,SEA,,RAI,L 14-37,0,0,,0,0,0,,0
9,1987,12,1987-12-06,22-246,SEA,@,PIT,L 9-13,0,0,,0,0,0,,0
10,1987,13,1987-12-13,22-253,SEA,,DEN,W 28-21,0,0,,0,0,0,,0
11,1987,14,1987-12-20,22-260,SEA,@,CHI,W 34-21,0,0,,0,0,0,,0
12,1987,15,1987-12-27,22-267,SEA,@,KAN,L 20-41,0,0,,0,0,0,,0
,,,12 Games,,,,,7-5-0,7,36,5.14,0,1,1,1.00,0
