
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1989,12,1989-11-26,24-183,PHO,,TAM,L 13-14,1,15,15.00,0
2,1989,13,1989-12-03,24-190,PHO,,WAS,L 10-29,0,0,,0
3,1989,14,1989-12-10,24-197,PHO,@,RAI,L 14-16,0,0,,0
4,1989,15,1989-12-16,24-203,PHO,,DEN,L 0-37,0,0,,0
5,1989,16,1989-12-24,24-211,PHO,@,PHI,L 14-31,0,0,,0
,,,5 Games,,,,,0-5-0,1,15,15.00,0
