
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
1,1989,1,1989-09-10,25-321,DAL,@,NOR,L 0-28,,4,30,7.50,0,1,-3,-3.00,0
2,1989,2,1989-09-17,25-328,DAL,@,ATL,L 21-27,,2,17,8.50,0,0,0,,0
3,1989,3,1989-09-24,25-335,DAL,,WAS,L 7-30,,3,16,5.33,0,1,-1,-1.00,0
,,,3 Games,,,,,0-3-0,,9,63,7.00,0,2,-4,-2.00,0
