
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1961,3,1961-09-24,27-122,NYT,,DEN,W 35-28,,0,0,,0,0,0,,0,1,22,22.00,0,0,0
2,1961,4,1961-10-01,27-129,NYT,,BOS,W 37-30,,0,0,,0,0,0,,0,1,22,22.00,0,0,0
3,1961,5,1961-10-15,27-143,NYT,,SDG,L 10-25,,0,0,,0,0,0,,0,1,35,35.00,0,0,0
4,1961,6,1961-10-22,27-150,NYT,@,DEN,L 10-27,,1,11,11.00,0,0,0,,0,0,0,,0,0,0
5,1961,7,1961-10-29,27-157,NYT,@,OAK,W 14-6,,3,39,13.00,0,0,0,,0,0,0,,0,0,0
6,1961,8,1961-11-05,27-164,NYT,@,SDG,L 13-48,,5,30,6.00,0,0,0,,0,0,0,,0,0,0
7,1961,9,1961-11-11,27-170,NYT,,OAK,W 23-12,,3,32,10.67,0,0,0,,0,0,0,,0,0,0
8,1961,10,1961-11-19,27-178,NYT,@,HOU,L 13-49,,0,0,,0,1,14,14.00,0,0,0,,0,0,0
9,1961,11,1961-11-23,27-182,NYT,,BUF,W 21-14,,4,117,29.25,1,0,0,,0,0,0,,0,1,6
10,1961,12,1961-12-03,27-192,NYT,,DTX,W 28-7,,2,39,19.50,0,0,0,,0,0,0,,0,0,0
11,1961,13,1961-12-10,27-199,NYT,,HOU,L 21-48,,0,0,,0,0,0,,0,5,98,19.60,0,0,0
12,1961,14,1961-12-17,27-206,NYT,@,DTX,L 24-35,,0,0,,0,0,0,,0,2,24,12.00,0,0,0
,,,12 Games,,,,,6-6-0,,18,268,14.89,1,1,14,14.00,0,10,201,20.10,0,1,6
