
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1994,1,1994-09-04,24-191,PHI,@,NYG,L 23-28,0,0,,0,0,0,,0
2,1994,2,1994-09-12,24-199,PHI,,CHI,W 30-22,0,0,,0,0,0,,0
3,1994,3,1994-09-18,24-205,PHI,,GNB,W 13-7,0,0,,0,0,0,,0
4,1994,4,1994-10-02,24-219,PHI,@,SFO,W 40-8,0,0,,0,0,0,,0
5,1994,5,1994-10-09,24-226,PHI,,WAS,W 21-17,0,0,,0,0,0,,0
6,1994,6,1994-10-16,24-233,PHI,@,DAL,L 13-24,0,0,,0,1,0,0.00,0
7,1994,7,1994-10-24,24-241,PHI,,HOU,W 21-6,0,0,,0,0,0,,0
8,1994,9,1994-11-06,24-254,PHI,,ARI,W 17-7,0,0,,0,0,0,,0
9,1994,10,1994-11-13,24-261,PHI,,CLE,L 7-26,0,0,,0,0,0,,0
10,1994,11,1994-11-20,24-268,PHI,@,ARI,L 6-12,0,0,,0,0,0,,0
11,1994,12,1994-11-27,24-275,PHI,@,ATL,L 21-28,0,0,,0,0,0,,0
12,1994,13,1994-12-04,24-282,PHI,,DAL,L 19-31,0,0,,0,0,0,,0
13,1994,14,1994-12-11,24-289,PHI,@,PIT,L 3-14,0,0,,0,0,0,,0
14,1994,16,1994-12-24,24-302,PHI,@,CIN,L 30-33,1,0,0.00,0,0,0,,0
,,,14 Games,,,,,6-8-0,1,0,0.00,0,1,0,0.00,0
