
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1970,7,1970-11-01,23-223,DET,,MIN,L 17-30,0,0,,0,1,20,20.00,0
2,1970,14,1970-12-20,23-272,DET,,GNB,W 20-0,1,9,9.00,0,0,0,,0
,,,2 Games,,,,,1-1-0,1,9,9.00,0,1,20,20.00,0
