
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1967,2,1967-09-10,21-338,DEN,@,OAK,L 0-51,2,13,6.50,0,,0,0,,0,0,0
2,1967,3,1967-09-17,21-345,DEN,@,MIA,L 21-35,6,42,7.00,2,,0,0,,0,2,12
3,1967,4,1967-09-24,21-352,DEN,,NYJ,L 24-38,1,4,4.00,1,,1,6,6.00,0,1,6
4,1967,5,1967-10-01,21-359,DEN,@,HOU,L 6-10,13,56,4.31,0,,1,-1,-1.00,0,0,0
5,1967,6,1967-10-08,22-001,DEN,,BUF,L 16-17,7,0,0.00,0,,2,8,4.00,0,0,0
6,1967,8,1967-10-29,22-022,DEN,@,KAN,L 9-52,5,13,2.60,0,,0,0,,0,0,0
7,1967,9,1967-11-05,22-029,DEN,,OAK,L 17-21,3,22,7.33,0,,0,0,,0,0,0
8,1967,10,1967-11-12,22-036,DEN,,HOU,L 18-20,6,24,4.00,0,,1,22,22.00,1,1,6
9,1967,11,1967-11-19,22-043,DEN,@,BUF,W 21-20,6,17,2.83,0,,0,0,,0,0,0
10,1967,12,1967-11-23,22-047,DEN,@,SDG,L 20-24,8,24,3.00,0,,0,0,,0,0,0
11,1967,13,1967-12-03,22-057,DEN,@,NYJ,W 33-24,16,48,3.00,1,,2,1,0.50,0,1,6
,,,11 Games,,,,,2-9-0,73,263,3.60,4,,7,36,5.14,1,5,30
