
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
1,1960,1,1960-09-24,26-010,PIT,@,DAL,W 35-28,1,36,36.00,0,0,0,,0,0,0,0
2,1960,2,1960-10-02,26-018,PIT,@,CLE,L 20-28,3,80,26.67,0,0,0,,0,0,0,0
3,1960,3,1960-10-09,26-025,PIT,,NYG,L 17-19,0,0,,0,0,0,,0,3,6,0
4,1960,4,1960-10-16,26-032,PIT,,STL,W 27-14,2,35,17.50,0,0,0,,0,1,12,0
5,1960,7,1960-11-06,26-053,PIT,@,PHI,L 7-34,,,,,1,4,4.00,0,,,
6,1960,10,1960-11-27,26-074,PIT,,WAS,W 22-10,0,0,,0,0,0,,0,1,0,0
7,1960,11,1960-12-11,26-088,PIT,,PHI,W 27-21,0,0,,0,2,11,5.50,0,1,31,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
8,1961,5,1961-10-15,27-031,DAL,,NYG,L 10-31,0,0,,0,0,0,,0,1,25,0
9,1961,11,1961-11-26,27-073,DAL,@,PHI,L 13-35,0,0,,0,0,0,,0,1,6,0
,,,9 Games,,,,,4-5-0,6,151,25.17,0,3,15,5.00,0,8,80,0
