
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1997,1,1997-08-31,26-013,ARI,@,CIN,L 21-24,0,0,,0,3,69,23.00,0
2,1997,2,1997-09-07,26-020,ARI,,DAL,W 25-22,3,1,0.33,0,1,27,27.00,0
3,1997,3,1997-09-14,26-027,ARI,@,WAS,L 13-19,5,25,5.00,0,2,40,20.00,0
4,1997,5,1997-10-05,26-048,ARI,,MIN,L 19-20,3,0,0.00,0,0,0,,0
,,,4 Games,,,,,1-3-0,11,26,2.36,0,6,136,22.67,0
