
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
27,2010,11,2010-11-25,29-176,DET,,NWE,L 24-45,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,7,194,27.71,0,1,8,8.00,0,0,0,0.0,0,0
28,2010,12,2010-12-05,29-186,DET,,CHI,L 20-24,2,18,9.00,0,0,0,0,,0,0,0,,0,0,0,,,,3,116,38.67,0,1,19,19.00,0,0,0,0.0,0,0
29,2010,13,2010-12-12,29-193,DET,,GNB,W 7-3,5,30,6.00,0,0,0,0,,0,0,0,,0,0,0,,,,2,55,27.50,0,4,37,9.25,0,0,0,0.0,0,0
30,2010,14,2010-12-19,29-200,DET,@,TAM,W 23-20,4,11,2.75,0,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,79,19.75,0,0,0,,0,0,0,0.0,0,0
31,2010,15,2010-12-26,29-207,DET,@,MIA,W 34-27,1,-1,-1.00,0,0,0,0,,0,0,0,,0,0,0,,,,2,18,9.00,0,1,23,23.00,0,0,0,0.0,0,0
32,2010,16,2011-01-02,29-214,DET,,MIN,W 20-13,1,12,12.00,0,0,0,0,,0,0,0,,0,0,0,,,,3,57,19.00,0,2,16,8.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
33,2011,1,2011-09-11,30-101,DET,@,TAM,W 27-20,1,-2,-2.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,34,6.80,0,0,0,0.0,0,0
34,2011,2,2011-09-18,30-108,DET,,KAN,W 48-3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
