
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1970,5,1970-10-18,22-033,NOR,@,SFO,T 20-20,0,0,,0,2,45,22.50,0
2,1970,6,1970-10-25,22-040,NOR,@,ATL,L 14-32,0,0,,0,2,18,9.00,0
3,1970,10,1970-11-22,22-068,NOR,,DEN,L 6-31,4,6,1.50,0,0,0,,0
4,1970,12,1970-12-06,22-082,NOR,@,RAM,L 16-34,0,0,,0,2,45,22.50,0
5,1970,13,1970-12-13,22-089,NOR,,SFO,L 27-38,0,0,,0,3,49,16.33,0
6,1970,14,1970-12-20,22-096,NOR,,CHI,L 3-24,0,0,,0,1,26,26.00,0
,,,6 Games,,,,,0-5-1,4,6,1.50,0,10,183,18.30,0
