
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-02,22-153,HOU,,RAI,L 14-24,1,9,9.00,0,0,0,,0
2,1984,2,1984-09-09,22-160,HOU,,IND,L 21-35,0,0,,0,0,0,,0
3,1984,3,1984-09-16,22-167,HOU,@,SDG,L 14-31,1,-1,-1.00,0,0,0,,0
4,1984,6,1984-10-07,22-188,HOU,@,CIN,L 3-13,0,0,,0,0,0,,0
5,1984,7,1984-10-14,22-195,HOU,@,MIA,L 10-28,4,3,0.75,0,0,0,,0
6,1984,11,1984-11-11,22-223,HOU,@,KAN,W 17-16,0,0,,0,0,0,,0
7,1984,12,1984-11-18,22-230,HOU,,NYJ,W 31-20,0,0,,0,0,0,,0
8,1984,13,1984-11-25,22-237,HOU,@,CLE,L 10-27,3,4,1.33,0,0,0,,0
9,1984,14,1984-12-02,22-244,HOU,,PIT,W 23-20,5,7,1.40,0,0,0,,0
10,1984,16,1984-12-16,22-258,HOU,,CLE,L 20-27,0,0,,0,3,57,19.00,0
,,,10 Games,,,,,3-7-0,14,22,1.57,0,3,57,19.00,0
