
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2009,13,2009-12-13,23-044,NOR,@,ATL,W 26-23
2,2009,14,2009-12-19,23-050,NOR,,DAL,L 17-24
,,,2 Games,,,,,1-1-0
