
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
1,1961,3,1961-10-01,23-184,SFO,@,DET,W 49-0,,0,0,,0,0,0,1,31,0
2,1961,6,1961-10-22,23-205,SFO,@,CHI,L 0-31,,0,0,,0,0,0,1,0,0
3,1961,8,1961-11-05,23-219,SFO,,DET,T 20-20,,0,0,,0,0,0,2,22,0
4,1961,13,1961-12-10,23-254,SFO,,GNB,W 22-21,,0,0,,0,0,0,1,63,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
5,1962,1,1962-09-16,24-169,SFO,,CHI,L 14-30,,1,7,7.00,0,0,0,0,0,0
6,1962,4,1962-10-07,24-190,SFO,@,BAL,W 21-13,,1,11,11.00,0,0,0,0,0,0
7,1962,5,1962-10-14,24-197,SFO,@,CHI,W 34-27,,1,80,80.00,1,1,6,0,0,0
8,1962,7,1962-10-28,24-211,SFO,,RAM,L 14-28,,5,47,9.40,1,1,6,0,0,0
9,1962,8,1962-11-04,24-218,SFO,,BAL,L 3-22,,2,21,10.50,0,0,0,0,0,0
10,1962,9,1962-11-11,24-225,SFO,,DET,L 24-38,,11,181,16.45,0,0,0,0,0,0
11,1962,10,1962-11-18,24-232,SFO,@,RAM,W 24-17,,3,49,16.33,1,1,6,0,0,0
12,1962,11,1962-11-25,24-239,SFO,@,STL,W 24-17,,5,97,19.40,0,0,0,0,0,0
13,1962,12,1962-12-02,24-246,SFO,@,MIN,W 35-12,,2,84,42.00,1,1,6,0,0,0
14,1962,13,1962-12-09,24-253,SFO,,GNB,L 21-31,,3,50,16.67,0,0,0,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
15,1963,1,1963-09-15,25-168,SFO,,MIN,L 20-24,,3,23,7.67,0,0,0,0,0,0
16,1963,2,1963-09-22,25-175,SFO,,BAL,L 14-20,,3,40,13.33,0,0,0,0,0,0
17,1963,4,1963-10-06,25-189,SFO,@,DET,L 3-26,,0,0,,0,0,0,1,36,0
18,1963,13,1963-12-08,25-252,SFO,@,CHI,L 7-27,,0,0,,0,0,0,1,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
19,1964,1,1964-09-13,26-166,SFO,,DET,L 17-26,,0,0,,0,0,0,1,0,0
20,1964,10,1964-11-15,26-229,SFO,,GNB,W 24-14,,0,0,,0,0,0,1,22,0
21,1964,13,1964-12-06,26-250,SFO,,RAM,W 28-7,,0,0,,0,0,0,1,43,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
22,1965,2,1965-09-26,27-179,SFO,,PIT,W 27-17,,0,0,,0,0,0,1,4,0
23,1965,3,1965-10-03,27-186,SFO,@,BAL,L 24-27,,0,0,,0,0,0,1,17,0
24,1965,4,1965-10-10,27-193,SFO,@,GNB,L 10-27,,0,0,,0,0,0,1,0,0
25,1965,9,1965-11-14,27-228,SFO,@,DET,W 27-21,,0,0,,0,0,0,1,0,0
26,1965,10,1965-11-21,27-235,SFO,,RAM,W 30-27,,0,0,,0,0,0,1,26,0
27,1965,14,1965-12-19,27-263,SFO,,GNB,T 24-24,,0,0,,0,0,0,1,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
28,1966,2,1966-09-25,28-178,SFO,@,BAL,L 14-36,,0,0,,0,0,0,1,22,0
29,1966,5,1966-10-16,28-199,SFO,@,ATL,W 44-7,,0,0,,0,1,6,1,35,1
30,1966,8,1966-11-06,28-220,SFO,,RAM,W 21-13,,0,0,,0,0,0,1,0,0
31,1966,13,1966-12-11,28-255,SFO,,CHI,W 41-14,,0,0,,0,0,0,1,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
32,1967,4,1967-10-08,29-191,SFO,@,RAM,W 27-24,,0,0,,0,0,0,1,38,0
33,1967,10,1967-11-19,29-233,SFO,@,GNB,L 0-13,,0,0,,0,0,0,1,30,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
34,1968,10,1968-11-17,30-231,SFO,,RAM,T 20-20,,0,0,,0,0,0,1,25,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
35,1969,2,1969-09-28,31-181,SFO,@,GNB,L 7-14,,0,0,,0,0,0,1,0,0
36,1969,6,1969-10-26,31-209,SFO,@,BAL,W 24-21,,0,0,,0,0,0,1,0,0
37,1969,11,1969-11-27,31-241,SFO,@,DAL,T 24-24,,0,0,,0,0,0,1,18,0
38,1969,14,1969-12-21,31-265,SFO,,PHI,W 14-13,,0,0,,0,0,0,2,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
39,1970,6,1970-10-25,32-208,SFO,,DEN,W 19-14,,0,0,,0,0,0,1,0,0
40,1970,14,1970-12-20,32-264,SFO,@,OAK,W 38-7,,0,0,,0,1,6,1,36,1
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
41,1971,5,1971-10-17,33-200,SFO,,CHI,W 13-0,,0,0,,0,0,0,1,10,0
42,1971,6,1971-10-24,33-207,SFO,@,STL,W 26-14,,0,0,,0,0,0,1,6,0
43,1971,13,1971-12-12,33-256,SFO,,ATL,W 24-3,,0,0,,0,0,0,1,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
44,1972,1,1972-09-17,34-170,SFO,,SDG,W 34-3,,0,0,,0,0,0,1,-5,0
45,1972,3,1972-10-01,34-184,SFO,@,NOR,W 37-2,,0,0,,0,0,0,2,8,0
46,1972,7,1972-10-29,34-212,SFO,@,ATL,W 49-14,,0,0,,0,0,0,1,15,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
47,1973,2,1973-09-23,35-176,SFO,@,DEN,W 36-34,,0,0,,0,0,0,2,45,0
48,1973,4,1973-10-07,35-190,SFO,@,ATL,W 13-9,,0,0,,0,0,0,1,1,0
49,1973,8,1973-11-04,35-218,SFO,@,DET,L 20-30,,0,0,,0,0,0,1,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
50,1974,2,1974-09-22,36-175,SFO,@,ATL,W 16-10,,0,0,,0,0,0,1,0,0
51,1974,4,1974-10-06,36-189,SFO,,STL,L 9-34,,0,0,,0,0,0,1,13,0
52,1974,11,1974-11-24,36-238,SFO,,ATL,W 27-0,,0,0,,0,0,0,1,37,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
53,1975,1,1975-09-21,37-174,SFO,@,MIN,L 17-27,,0,0,,0,0,0,1,0,0
54,1975,8,1975-11-09,37-223,SFO,@,RAM,W 24-23,,0,0,,0,0,0,1,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
55,1976,3,1976-09-26,38-179,SFO,@,SEA,W 37-21,,0,0,,0,0,0,1,17,0
,,,55 Games,,,,,32-19-4,,40,690,17.25,4,6,36,47,615,2
