
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1982,2,1982-09-19,24-210,KAN,,SDG,W 19-12,0,0,,0,1,18,18.00,0
2,1982,4,1982-11-28,24-280,KAN,@,RAM,L 14-20,0,0,,0,0,0,,0
3,1982,6,1982-12-12,24-294,KAN,,RAI,L 16-21,0,0,,0,0,0,,0
4,1982,7,1982-12-19,24-301,KAN,@,DEN,W 37-16,0,0,,0,0,0,,0
5,1982,8,1982-12-26,24-308,KAN,,SFO,L 13-26,0,0,,0,0,0,,0
6,1982,9,1983-01-02,24-315,KAN,,NYJ,W 37-13,4,7,1.75,0,1,23,23.00,0
,,,6 Games,,,,,3-3-0,4,7,1.75,0,2,41,20.50,0
