
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,24-211,MIA,@,SEA,L 20-24,10,55,5.50,0
2,1987,4,1987-10-11,24-218,MIA,,KAN,W 42-0,0,0,,0
3,1987,5,1987-10-18,24-225,MIA,@,NYJ,L 31-37,0,0,,0
,,,3 Games,,,,,1-2-0,10,55,5.50,0
